Order No,Order Date,Order Year,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Order Quantity,Cost Price,Retail Price,Profit Margin,Total
5091-1,5/19/2013,2013,Brad Thomas,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,High,"210 Trimline Phone, White",Technology,Medium Box,7,$9.91 ,$15.99 ,$6.08 ,$119.85 
5093-1,5/19/2013,2013,Nat Carroll,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,29,$3.75 ,$7.08 ,$3.33 ,$199.46 
5095-1,5/20/2013,2013,Roy Skaria,"2/797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Samantha Chairs,High,Aluminum Document Frame,Furniture,Small Pack,35,$5.50 ,$12.22 ,$6.72 ,$430.55 
5097-1,5/20/2013,2013,Brad Eason,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,47,$13.64 ,$20.98 ,$7.34 ,$888.94 
5099-1,5/21/2013,2013,Dave Kipp,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,Yvette Biti,High,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,24,$3.42 ,$8.34 ,$4.92 ,$182.78 
5101-1,5/22/2013,2013,Thais Sissman,8 Orange Street,Perth,WA,Small Business,Tina Carlton,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,2,$4.59 ,$7.28 ,$2.69 ,$24.55 
5103-1,5/22/2013,2013,Andy Reiter,"30 Wellington Street, Perth",Melbourne,VIC,Corporate,Yvette Biti,Critical,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,1,$1.18 ,$1.88 ,$0.70 ,$3.28 
5104-1,5/23/2013,2013,Becky Martin,"22 St Georges Terrace, Perth",Sydney,NSW,Home Office,Tina Carlton,Medium,Alto Keyboard-In-A-Box,Technology,Small Box,33,$6.40 ,$29.10 ,$22.70 ,$954.70 
5106-1,5/26/2013,2013,Denny Ordway,"523 King St,Newtown",Sydney,NSW,Small Business,Aanya Zhang,Critical,Artisan 48 Labels,Office Supplies,Small Box,42,$3.84 ,$6.30 ,$2.46 ,$246.58 
5108-1,5/27/2013,2013,Luke Schmidt,"73 York St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,14,$156.50 ,$300.97 ,$144.47 ,"$3,799.40 "
5109-1,5/28/2013,2013,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Low,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Wrap Bag,38,$2.29 ,$3.58 ,$1.29 ,$129.51 
5111-1,5/29/2013,2013,Eugene Moren,14/76 Newcastle Street,Perth,WA,Home Office,Mihael Khan,High,Colored Envelopes,Office Supplies,Small Box,35,$2.25 ,$3.69 ,$1.44 ,$127.78 
5112-1,5/29/2013,2013,Anthony Rawles,"14 Money Street, Perth",Perth,WA,Small Business,Mihael Khan,Medium,Xit Blank Computer Paper,Office Supplies,Small Box,13,$12.39 ,$19.98 ,$7.59 ,$239.54 
5113-1,5/31/2013,2013,Rick Duston,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Medium,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Small Box,14,$8.92 ,$29.74 ,$20.82 ,$414.67 
5114-1,5/31/2013,2013,Raymond Fair,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,TechSavi Cordless Elite Duo,Technology,Small Box,33,$60.59 ,$100.98 ,$40.39 ,"$3,172.90 "
5115-1,5/31/2013,2013,Joy Smith,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,Yvette Biti,Low,"Wirebound Message Book, 4 per Page",Office Supplies,Wrap Bag,29,$3.48 ,$5.43 ,$1.95 ,$147.40 
5117-1,6/2/2013,2013,Jim Epp,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Low,Laser DVD-RAM discs,Technology,Small Pack,38,$20.18 ,$35.41 ,$15.23 ,"$1,307.20 "
5119-1,6/4/2013,2013,Mike Vittorini,"211/25-29 Dixon St,Haymarket",Sydney,NSW,Small Business,Preston Senome,Not Specified,Artisan Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Wrap Bag,34,$1.76 ,$3.38 ,$1.62 ,$107.73 
5120-1,6/5/2013,2013,Neil Knudson,"4A Lyons St,Strathfield",Sydney,NSW,Home Office,Tina Carlton,Critical,Artisan Arch Ring Binders,Office Supplies,Small Box,10,$36.02 ,$58.10 ,$22.08 ,$530.20 
5122-1,6/5/2013,2013,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,38,$156.50 ,$300.97 ,$144.47 ,"$10,414.72 "
5124-1,6/6/2013,2013,Erica Hernandez,"12 Princess Hwy,Sylvania",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,30,$3.42 ,$8.34 ,$4.92 ,$247.84 
5125-1,6/7/2013,2013,Janet Martin,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,Not Specified,TechSavi Cordless Elite Duo,Technology,Small Box,29,$60.59 ,$100.98 ,$40.39 ,"$2,847.75 "
5127-1,6/9/2013,2013,Beth Thompson,"101 Murray Street, Perth",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Deluxe Rollaway Locking File with Drawer,Office Supplies,Small Box,2,$178.83 ,$415.88 ,$237.05 ,$784.91 
5128-1,6/10/2013,2013,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,Mihael Khan,Medium,EcoTones Memo Sheets,Office Supplies,Wrap Bag,39,$2.52 ,$4.00 ,$1.48 ,$144.82 
5129-1,6/11/2013,2013,Jim Kriz,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Consumer,Mihael Khan,Low,Smiths Colored Interoffice Envelopes,Office Supplies,Small Box,49,$19.83 ,$30.98 ,$11.15 ,"$1,400.91 "
5131-1,6/15/2013,2013,Steve Nguyen,"61 York St,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Medium,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,5,$156.50 ,$300.97 ,$144.47 ,"$1,406.69 "
5133-1,6/15/2013,2013,Scott Cohen,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,High,Wirebound Voice Message Log Book,Office Supplies,Wrap Bag,27,$2.90 ,$4.76 ,$1.86 ,$120.40 
5134-1,6/16/2013,2013,Liz MacKendrick,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,1,$156.50 ,$300.97 ,$144.47 ,$290.09 
5135-1,6/20/2013,2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Wrap Bag,10,$2.29 ,$3.58 ,$1.29 ,$35.64 
5137-1,6/21/2013,2013,Carlos Meador,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Medium,Multimedia Mailers,Office Supplies,Small Box,7,$99.39 ,$162.93 ,$63.54 ,"$1,126.28 "
5138-1,6/21/2013,2013,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,High,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,34,$1.60 ,$2.62 ,$1.02 ,$82.75 
5140-1,6/24/2013,2013,Paul Lucas,"8 Quay Street,Haymarket",Sydney,NSW,Corporate,Leighton Forrest,High,3Max Organizer Strips,Office Supplies,Small Box,25,$3.40 ,$5.40 ,$2.00 ,$130.63 
5142-1,6/25/2013,2013,Aleksandra Gannaway,"508/130 Mounts Bay Road, Perth",Perth,WA,Home Office,Tina Carlton,High,PastelOcean Color Pencil Set,Office Supplies,Wrap Bag,26,$11.11 ,$19.84 ,$8.73 ,$483.83 
5144-1,6/26/2013,2013,Roy Collins,6 Brookman Street,Perth,WA,Corporate,Natasha Song,Critical,Smiths Gold Paper Clips,Office Supplies,Wrap Bag,3,$1.82 ,$2.98 ,$1.16 ,$9.72 
5148-1,6/29/2013,2013,Eugene Hildebrand,"120 Hardware St,Melbourne",Melbourne,VIC,Home Office,Yvette Biti,Medium,Economy Binders,Office Supplies,Small Box,44,$1.33 ,$2.08 ,$0.75 ,$89.35 
5150-1,6/29/2013,2013,Adam Bellavance,"106 Ebley Street,Bondi Junction",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,HFX 6S Scientific Calculator,Technology,Medium Box,49,$7.92 ,$12.99 ,$5.07 ,$601.39 
5152-1,6/30/2013,2013,Mitch Gastineau,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,Low,Beekin 105-Key Black Keyboard,Technology,Small Box,19,$6.39 ,$19.98 ,$13.59 ,$353.25 
5154-1,7/2/2013,2013,Stuart Calhoun,"359 Crown Street,Surry Hills",Sydney,NSW,Consumer,Phoebe Gour,High,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,Small Pack,32,$1.87 ,$8.12 ,$6.25 ,$241.88 
5156-1,7/3/2013,2013,Denise Leinenbach,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,High,Self-Adhesive Removable Labels,Office Supplies,Small Box,23,$1.98 ,$3.15 ,$1.17 ,$72.22 
5158-1,7/3/2013,2013,Mitch Webber,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Not Specified,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,34,$16.85 ,$27.18 ,$10.33 ,$839.94 
5159-1,7/4/2013,2013,Sara Luxemburg,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,Critical,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,21,$1.60 ,$2.62 ,$1.02 ,$53.07 
5160-1,7/5/2013,2013,Berenike Kampe,"32/82 King Street, Perth",Melbourne,VIC,Corporate,Connor Betts,Not Specified,1726 Digital Answering Machine,Technology,Medium Box,41,$8.82 ,$20.99 ,$12.17 ,$848.19 
5160-2,7/5/2013,2013,Berenike Kampe,"32/82 King Street, Perth",Melbourne,VIC,Corporate,Connor Betts,Not Specified,3Max Organizer Strips,Office Supplies,Small Box,26,$3.40 ,$5.40 ,$2.00 ,$141.16 
5163-1,7/6/2013,2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,28,$21.56 ,$35.94 ,$14.38 ,"$1,002.92 "
5165-1,7/10/2013,2013,Julie Kriz,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,Artisan Non-Stick Binders,Office Supplies,Small Box,11,$2.74 ,$4.49 ,$1.75 ,$46.93 
5166-1,7/10/2013,2013,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,Not Specified,DrawIt Colored Pencils,Office Supplies,Wrap Bag,6,$4.37 ,$9.11 ,$4.74 ,$54.72 
5168-1,7/15/2013,2013,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Consumer,Mihael Khan,Critical,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,Wrap Bag,20,$3.88 ,$6.47 ,$2.59 ,$128.03 
5168-2,7/15/2013,2013,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Consumer,Mihael Khan,Critical,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,39,$1.31 ,$2.84 ,$1.53 ,$103.94 
5171-1,7/16/2013,2013,George Zrebassa,"81 MacLeay St,Potts Point",Sydney,NSW,Home Office,Samantha Chairs,Critical,Bagged Rubber Bands,Office Supplies,Wrap Bag,10,$0.24 ,$1.26 ,$1.02 ,$12.04 
5173-1,7/16/2013,2013,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,High,Wirebound Voice Message Log Book,Office Supplies,Wrap Bag,13,$2.90 ,$4.76 ,$1.86 ,$58.43 
5174-1,7/17/2013,2013,Pauline Webber,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,Yvette Biti,Low,UGen Ultra Cordless Optical Suite,Technology,Small Box,35,$54.52 ,$100.97 ,$46.45 ,"$3,364.43 "
5175-1,7/18/2013,2013,Ben Wallace,"6 Brookman Street, Perth",Melbourne,VIC,Home Office,Yvette Biti,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,15,$3.42 ,$8.34 ,$4.92 ,$127.74 
5177-1,7/20/2013,2013,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,23,$5.33 ,$8.60 ,$3.27 ,$200.03 
5178-1,7/21/2013,2013,Adam Shillingsburg,"Westfield Parramatta,Parramatta",Sydney,NSW,Corporate,Stevie Bacata,High,Cando PC940 Copier,Technology,Jumbo Drum,12,$278.99 ,$449.99 ,$171.00 ,"$5,124.89 "
5180-1,7/22/2013,2013,Rick Hansen,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,High,Economy Binders,Office Supplies,Small Box,11,$1.33 ,$2.08 ,$0.75 ,$24.14 
5181-1,7/22/2013,2013,Edward Becker,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Low,TechSavi Internet Navigator Keyboard,Technology,Small Box,29,$6.51 ,$30.98 ,$24.47 ,$877.97 
5183-1,7/23/2013,2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Wrap Bag,11,$2.98 ,$5.84 ,$2.86 ,$64.43 
5185-1,7/24/2013,2013,Karl Brown,"470 Anzac Parade,Kingsford",Sydney,NSW,Home Office,Tina Carlton,Critical,Artisan Hanging File Binders,Office Supplies,Small Box,14,$3.65 ,$5.98 ,$2.33 ,$77.68 
5186-1,7/26/2013,2013,Eric Barreto,14 Money Street,Perth,WA,Consumer,Phoebe Gour,Low,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,37,$4.46 ,$10.89 ,$6.43 ,$383.25 
5188-1,7/26/2013,2013,Charles Sheldon,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Low,TechSavi Internet Navigator Keyboard,Technology,Small Box,8,$6.51 ,$30.98 ,$24.47 ,$251.86 
5189-1,7/27/2013,2013,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Small Business,Yvette Biti,Low,Adesso Programmable 142-Key Keyboard,Technology,Small Box,31,$39.64 ,$152.48 ,$112.84 ,"$4,402.50 "
5191-1,7/28/2013,2013,Thais Sissman,8 Orange Street,Perth,WA,Corporate,Tina Carlton,Not Specified,Fluorescent Highlighters by DrawIt,Office Supplies,Wrap Bag,30,$1.95 ,$3.98 ,$2.03 ,$108.29 
5193-1,7/29/2013,2013,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,38,$1.94 ,$3.08 ,$1.14 ,$113.35 
